time,content,url,is_quote
2024-05-10 06:17:13,"RT @SpaceX: Watch Falcon 9 launch 20 @Starlink satellites to orbit from California, including 13 with Direct to Cell capabilities https://t…",https://twitter.com/elonmusk/status/1788815539998953716,1
2024-05-10 07:07:31,What Earthlooks like in radio frequency from the ⁦@Starlink⁩ direct to phone satellites https://t.co/HATVQIsLQT,https://twitter.com/elonmusk/status/1788828194419736695,1
2024-05-10 07:34:00,"Just to reiterate: Tesla will spend well over $500M expanding our Supercharger network to create thousands of NEW chargers this year. 

That’s just on new sites and expansions, not counting operations costs, which are much higher.",https://twitter.com/elonmusk/status/1788834859110002716,1
2024-05-10 07:37:55,"Our 75th launch from Vandenberg, California",https://twitter.com/elonmusk/status/1788835845601952007,0
2024-05-10 07:49:31,"Just started a Supercharger Community
 https://t.co/o5QSGCfrp3",https://twitter.com/elonmusk/status/1788838767165415549,1
2024-05-10 08:23:00,"RT @TeslaCharging: New Tesla Supercharger: IOI City Mall Putrajaya, Malaysia (4 stalls) 
https://t.co/clVvuUvNTL https://t.co/1Ajy6ZrY5e",https://twitter.com/elonmusk/status/1788847191160705030,1
2024-05-10 14:17:37,This is accurate,https://twitter.com/elonmusk/status/1788936435589947426,0
2024-05-10 14:24:31,RT @SpaceX: Falcon 9 launches 20 @Starlink satellites – including 13 with Direct to Cell capabilities – completing the 75th launch from pad…,https://twitter.com/elonmusk/status/1788938169284485583,1
2024-05-10 14:44:28,"RT @farzyness: Neuralink's First Patient Reveals Astonishing Results.

Here's an edit of @ModdedQuad first livestream explaining in detail…",https://twitter.com/elonmusk/status/1788943191598612505,1
2024-05-10 17:18:16,"RT @jack: don’t depend on corporations to grant you rights.
defend them yourself using freedom technology.

(you’re on one)",https://twitter.com/elonmusk/status/1788981896988242055,1
2024-05-10 18:10:42,RT @DongWookChung2: I love X Communities because they provide a much bigger chance for great content from small accounts to be featured and…,https://twitter.com/elonmusk/status/1788995093698936990,0
2024-05-10 18:16:04,Concerning,https://twitter.com/elonmusk/status/1788996442574450777,0
2024-05-10 19:25:41,"RT @pmarca: Please enjoy @bhorowitz and me answering questions on the current state of AI!

01:14 How AI startups can compete with the bigg…",https://twitter.com/elonmusk/status/1789013961796407406,1
2024-05-10 21:06:03,I doubt that the people of Australia agree with suppressing their rights,https://twitter.com/elonmusk/status/1789039218607747137,0
2024-05-10 21:46:05,Interesting,https://twitter.com/elonmusk/status/1789049294160621882,0
2024-05-11 02:22:25,"RT @jordanbpeterson: Mr. Musk

@elonmusk 

It's much much worse than you have been informed: plans to shackle Canadians electronically if a…",https://twitter.com/elonmusk/status/1789118836157059356,0
2024-05-11 06:01:14,"Major geomagnetic solar storm happening right now. Biggest in a long time. Starlink satellites are under a lot of pressure, but holding up so far. https://t.co/TrEv5Acli2",https://twitter.com/elonmusk/status/1789173902289338518,1
2024-05-11 06:41:49,"RT @daltybrewer: I took my first road trip in my Tesla using FSD v12.3.6.

My car drove me 366 miles with 0 disengagements.

I can confiden…",https://twitter.com/elonmusk/status/1789184117848059912,1
2024-05-11 06:44:06,Only 𝕏 resisted censoring your voice,https://twitter.com/elonmusk/status/1789184692161569063,0
2024-05-11 12:37:49,"RT @cb_doge: Just a reminder:

On 𝕏, the average cost per ad click is only $0.38, lowest as compared to other platforms. https://t.co/wKqu0…",https://twitter.com/elonmusk/status/1789273707552412034,1
